Cl.Ord.ID,Instrument,Side,Quantity,Price
aa127,Rose,2,750,713
aa128,Rose,1,280,958
aa129,Rose,1,110,818
aa130,Rose,1,760,343
aa131,Rose,1,850,873
aa132,Rose,1,380,495
aa133,Rose,2,490,717
aa134,Rose,1,980,844
aa135,Rose,2,370,591
aa136,Rose,2,510,653
aa137,Rose,1,910,912
aa138,Rose,2,180,318
aa139,Rose,2,70,93
aa140,Rose,1,270,50
aa141,Rose,2,660,254
aa142,Rose,1,170,208
aa143,Rose,2,650,510
aa144,Rose,1,30,163
aa145,Rose,1,360,848
aa146,Rose,2,650,795
aa147,Rose,2,920,187
aa148,Rose,1,830,112
aa149,Rose,1,300,947
aa150,Rose,2,390,488
aa151,Rose,2,970,430
aa152,Rose,2,180,423
aa153,Rose,1,350,708
aa154,Rose,2,520,673
aa155,Rose,1,20,580
aa156,Rose,2,480,24
aa157,Rose,1,330,963
aa158,Rose,1,1000,527
aa159,Rose,2,60,862
aa160,Rose,2,550,351
aa161,Rose,2,940,425
aa162,Rose,2,510,592
aa163,Rose,1,630,94
aa164,Rose,2,260,63
aa165,Rose,2,390,938
aa166,Rose,2,450,550
aa167,Rose,2,820,248
aa168,Rose,1,350,272
aa169,Rose,1,950,826
aa170,Rose,2,930,878
aa171,Rose,2,600,24
aa172,Rose,1,680,291
aa173,Rose,2,840,306
aa174,Rose,1,490,236
aa175,Rose,2,360,957
aa176,Rose,1,530,921
aa177,Rose,2,200,961
aa178,Rose,1,540,755
aa179,Rose,2,930,146
aa180,Rose,2,560,540
aa181,Rose,1,10,682
aa182,Rose,2,750,165
aa183,Rose,2,480,761
aa184,Rose,1,430,939
aa185,Rose,2,690,745
aa186,Rose,1,310,524
aa187,Rose,1,540,636
aa188,Rose,1,270,616
aa189,Rose,1,650,756
aa190,Rose,1,710,702
aa191,Rose,1,190,968
aa192,Rose,2,950,244
aa193,Rose,2,140,129
aa194,Rose,1,350,419
aa195,Rose,1,170,645
aa196,Rose,2,960,154
aa197,Rose,2,80,940
aa198,Rose,1,450,26
aa199,Rose,2,500,65
aa200,Rose,2,260,33
aa201,Rose,2,520,244
aa202,Rose,2,750,979
aa203,Rose,2,60,737
aa204,Rose,1,530,216
aa205,Rose,2,190,568
aa206,Rose,1,630,749
aa207,Rose,2,390,358
aa208,Rose,2,920,463
aa209,Rose,2,550,381
aa210,Rose,2,340,28
aa211,Rose,2,820,545
aa212,Rose,1,550,866
aa213,Rose,2,840,557
aa214,Rose,2,490,887
aa215,Rose,2,320,922
aa216,Rose,1,360,137
aa217,Rose,1,770,310
aa218,Rose,1,860,84
aa219,Rose,2,280,428
aa220,Rose,2,800,152
aa221,Rose,1,590,742
aa222,Rose,2,440,304
aa223,Rose,1,500,980
aa224,Rose,2,580,950
aa225,Rose,1,430,150
aa226,Rose,1,330,323
aa227,Rose,2,80,470
aa228,Rose,1,830,45
aa229,Rose,2,550,411
aa230,Rose,2,890,288
aa231,Rose,2,630,621
aa232,Rose,1,900,583
aa233,Rose,2,440,124
aa234,Rose,1,560,85
aa235,Rose,2,430,97
aa236,Rose,1,550,959
aa237,Rose,1,880,370
aa238,Rose,1,1000,977
aa239,Rose,1,930,594
aa240,Rose,1,330,728
aa241,Rose,1,150,163
aa242,Rose,2,390,531
aa243,Rose,1,550,946
aa244,Rose,2,560,381
aa245,Rose,1,100,309
aa246,Rose,2,280,304
aa247,Rose,1,710,464
aa248,Rose,1,240,742
aa249,Rose,1,600,21
aa250,Rose,1,360,373
aa251,Rose,1,490,789
aa252,Rose,2,150,208
aa253,Rose,2,450,304
aa254,Rose,1,890,336
aa255,Rose,1,730,365
aa256,Rose,2,360,318
aa257,Rose,1,660,31
aa258,Rose,2,220,430
aa259,Rose,2,450,433
aa260,Rose,2,340,586
aa261,Rose,1,510,641
aa262,Rose,2,530,983
aa263,Rose,1,890,490
aa264,Rose,2,640,584
aa265,Rose,1,540,439
aa266,Rose,1,550,947
aa267,Rose,1,580,213
aa268,Rose,2,810,523
aa269,Rose,2,180,861
aa270,Rose,2,820,712
aa271,Rose,1,350,551
aa272,Rose,2,510,414
aa273,Rose,2,220,869
aa274,Rose,1,600,37
aa275,Rose,1,570,982
aa276,Rose,2,410,328
aa277,Rose,1,260,175
aa278,Rose,2,780,230
aa279,Rose,1,720,135
aa280,Rose,1,960,837
aa281,Rose,2,670,5
aa282,Rose,2,780,585
aa283,Rose,2,880,60
aa284,Rose,1,540,487
aa285,Rose,2,270,932
aa286,Rose,1,390,937
aa287,Rose,1,130,205
aa288,Rose,2,120,672
aa289,Rose,1,190,14
aa290,Rose,1,190,554
aa291,Rose,1,180,248
aa292,Rose,2,230,43
aa293,Rose,1,910,733
aa294,Rose,2,420,156
aa295,Rose,1,860,846
aa296,Rose,1,970,454
aa297,Rose,2,410,987
aa298,Rose,2,770,885
aa299,Rose,1,30,228
aa300,Rose,1,400,436
aa301,Rose,1,900,669
aa302,Rose,2,740,135
aa303,Rose,2,570,428
aa304,Rose,2,600,138
aa305,Rose,2,200,480
aa306,Rose,2,810,267
aa307,Rose,1,820,251
aa308,Rose,2,870,450
aa309,Rose,1,160,258
aa310,Rose,1,800,60
aa311,Rose,1,930,890
aa312,Rose,1,900,98
aa313,Rose,2,710,650
aa314,Rose,1,940,468
aa315,Rose,2,970,107
aa316,Rose,2,930,470
aa317,Rose,2,90,10
aa318,Rose,2,530,436
aa319,Rose,2,830,786
aa320,Rose,2,480,915
aa321,Rose,2,140,353
aa322,Rose,1,730,359
aa323,Rose,1,490,147
aa324,Rose,1,730,576
aa325,Rose,1,100,520
aa326,Rose,1,710,258
aa327,Rose,1,900,877
aa328,Rose,1,690,69
aa329,Rose,1,610,76
aa330,Rose,1,900,311
aa331,Rose,1,210,48
aa332,Rose,1,420,842
aa333,Rose,2,50,734
aa334,Rose,1,550,76
aa335,Rose,2,820,209
aa336,Rose,1,100,487
aa337,Rose,1,950,159
aa338,Rose,2,770,23
aa339,Rose,1,890,839
aa340,Rose,2,200,38
aa341,Rose,1,450,306
aa342,Rose,2,430,689
aa343,Rose,1,940,508
aa344,Rose,1,900,540
aa345,Rose,2,600,19
aa346,Rose,2,200,624
aa347,Rose,2,480,889
aa348,Rose,2,680,759
aa349,Rose,2,370,899
aa350,Rose,2,20,84
aa351,Rose,2,470,834
aa352,Rose,2,740,494
aa353,Rose,1,760,882
aa354,Rose,2,220,260
aa355,Rose,2,810,273
aa356,Rose,2,640,571
aa357,Rose,2,980,920
aa358,Rose,1,20,197
aa359,Rose,2,890,409
aa360,Rose,1,490,193
aa361,Rose,1,960,636
aa362,Rose,1,990,166
aa363,Rose,2,520,197
aa364,Rose,2,340,635
aa365,Rose,2,210,658
aa366,Rose,2,670,704
aa367,Rose,2,170,819
aa368,Rose,1,40,676
aa369,Rose,1,840,257
aa370,Rose,2,720,493
aa371,Rose,2,670,209
aa372,Rose,2,900,855
aa373,Rose,1,100,838
aa374,Rose,1,750,325
aa375,Rose,2,450,331
aa376,Rose,1,10,894
aa377,Rose,1,280,26
aa378,Rose,2,520,729
aa379,Rose,2,650,399
aa380,Rose,2,120,190
aa381,Rose,1,840,816
aa382,Rose,2,140,976
aa383,Rose,1,160,451
aa384,Rose,2,820,224
aa385,Rose,1,60,51
aa386,Rose,1,680,886
aa387,Rose,1,840,502
aa388,Rose,2,570,482
aa389,Rose,1,790,925
aa390,Rose,1,870,295
aa391,Rose,1,920,812
aa392,Rose,1,530,892
aa393,Rose,1,680,888
aa394,Rose,2,590,885
aa395,Rose,2,880,435
aa396,Rose,1,880,698
aa397,Rose,2,690,523
aa398,Rose,2,810,732
aa399,Rose,1,380,103
aa400,Rose,1,710,634
aa401,Rose,1,450,607
aa402,Rose,2,810,122
aa403,Rose,2,90,885
aa404,Rose,1,780,544
aa405,Rose,1,640,932
aa406,Rose,2,680,192
aa407,Rose,2,470,55
aa408,Rose,2,540,454
aa409,Rose,1,10,441
aa410,Rose,1,350,159
aa411,Rose,2,920,843
aa412,Rose,2,540,428
aa413,Rose,1,770,849
aa414,Rose,2,200,198
aa415,Rose,2,620,62
aa416,Rose,2,250,275
aa417,Rose,1,30,22
aa418,Rose,2,640,662
aa419,Rose,1,400,381
aa420,Rose,1,790,285
aa421,Rose,1,90,503
aa422,Rose,2,270,674
aa423,Rose,1,950,139
aa424,Rose,2,970,278
aa425,Rose,1,920,609
aa426,Rose,1,530,562
aa427,Rose,1,110,681
aa428,Rose,1,250,452
aa429,Rose,1,990,398
aa430,Rose,1,590,755
aa431,Rose,2,770,717
aa432,Rose,2,200,708
aa433,Rose,1,860,122
aa434,Rose,2,310,571
aa435,Rose,2,220,589
aa436,Rose,1,790,223
aa437,Rose,2,700,205
aa438,Rose,2,90,50
aa439,Rose,2,870,250
aa440,Rose,1,760,672
aa441,Rose,2,90,889
aa442,Rose,2,330,303
aa443,Rose,2,120,539
aa444,Rose,2,400,727
aa445,Rose,1,130,137
aa446,Rose,2,740,365
aa447,Rose,1,340,99
aa448,Rose,1,620,968
aa449,Rose,1,120,333
aa450,Rose,2,400,69
aa451,Rose,1,70,351
aa452,Rose,2,430,704
aa453,Rose,1,700,391
aa454,Rose,2,870,155
aa455,Rose,1,180,677
aa456,Rose,2,280,448
aa457,Rose,1,660,99
aa458,Rose,1,80,1000
aa459,Rose,2,200,972
aa460,Rose,1,550,316
aa461,Rose,1,600,298
aa462,Rose,2,790,984
aa463,Rose,2,500,999
aa464,Rose,2,290,945
aa465,Rose,2,60,837
aa466,Rose,1,590,677
aa467,Rose,2,360,460
aa468,Rose,1,620,132
aa469,Rose,2,810,471
aa470,Rose,2,250,408
aa471,Rose,2,920,521
aa472,Rose,2,580,597
aa473,Rose,2,210,422
aa474,Rose,2,490,747
aa475,Rose,1,850,552
aa476,Rose,2,720,338
aa477,Rose,1,850,96
aa478,Rose,2,330,669
aa479,Rose,1,640,590
aa480,Rose,1,750,754
aa481,Rose,1,180,525
aa482,Rose,1,950,827
aa483,Rose,1,820,62
aa484,Rose,1,980,16
aa485,Rose,2,600,956
aa486,Rose,2,460,831
aa487,Rose,1,520,290
aa488,Rose,1,620,626
aa489,Rose,2,260,102
aa490,Rose,1,270,778
aa491,Rose,2,880,776
aa492,Rose,2,700,816
aa493,Rose,1,990,855
aa494,Rose,2,850,5
aa495,Rose,2,180,979
aa496,Rose,2,160,873
aa497,Rose,2,370,993
aa498,Rose,2,550,144
aa499,Rose,1,840,357
aa500,Rose,1,350,301
aa501,Rose,2,610,774
aa502,Rose,1,240,455
aa503,Rose,2,820,10
aa504,Rose,2,280,963
aa505,Rose,2,210,401
aa506,Rose,2,600,240
aa507,Rose,1,250,769
aa508,Rose,2,560,305
aa509,Rose,2,550,120
aa510,Rose,2,340,350
aa511,Rose,2,220,507
aa512,Rose,2,980,957
aa513,Rose,1,810,97
aa514,Rose,2,270,787
aa515,Rose,2,320,714
aa516,Rose,1,850,283
aa517,Rose,2,110,899
aa518,Rose,2,960,513
aa519,Rose,2,860,663
aa520,Rose,1,30,15
aa521,Rose,1,820,291
aa522,Rose,1,630,645
aa523,Rose,1,710,766
aa524,Rose,2,880,764
aa525,Rose,1,480,67
aa526,Rose,2,860,357
aa527,Rose,2,410,478
aa528,Rose,2,50,249
aa529,Rose,2,780,213
aa530,Rose,1,910,643
aa531,Rose,1,50,213
aa532,Rose,1,860,747
aa533,Rose,2,930,297
aa534,Rose,1,250,23
aa535,Rose,1,500,723
aa536,Rose,1,780,136
aa537,Rose,2,750,492
aa538,Rose,2,180,649
aa539,Rose,2,170,761
aa540,Rose,1,50,408
aa541,Rose,2,980,787
aa542,Rose,2,430,505
aa543,Rose,2,20,173
aa544,Rose,1,420,847
aa545,Rose,1,570,959
aa546,Rose,2,210,729
aa547,Rose,1,660,359
aa548,Rose,2,370,889
aa549,Rose,1,770,929
aa550,Rose,2,460,484
aa551,Rose,1,960,555
aa552,Rose,1,450,454
aa553,Rose,1,90,286
aa554,Rose,1,820,7
aa555,Rose,1,720,633
aa556,Rose,2,550,123
aa557,Rose,1,830,440
aa558,Rose,1,360,682
aa559,Rose,2,290,376
aa560,Rose,1,560,520
aa561,Rose,2,10,258
aa562,Rose,1,120,538
aa563,Rose,1,840,847
aa564,Rose,2,120,351
aa565,Rose,1,130,756
aa566,Rose,1,160,219
aa567,Rose,1,950,672
aa568,Rose,1,890,899
aa569,Rose,1,1000,871
aa570,Rose,2,350,738
aa571,Rose,1,240,119
aa572,Rose,2,430,780
aa573,Rose,2,60,81
aa574,Rose,1,290,520
aa575,Rose,2,410,315
aa576,Rose,1,260,220
aa577,Rose,1,90,513
aa578,Rose,1,650,85
aa579,Rose,1,700,353
aa580,Rose,1,950,925
aa581,Rose,2,140,850
aa582,Rose,2,780,243
aa583,Rose,1,270,506
aa584,Rose,2,520,525
aa585,Rose,2,200,411
aa586,Rose,1,760,188
aa587,Rose,2,810,107
aa588,Rose,1,250,932
aa589,Rose,1,320,114
aa590,Rose,1,100,182
aa591,Rose,2,850,705
aa592,Rose,1,730,674
aa593,Rose,1,100,54
aa594,Rose,1,1000,928
aa595,Rose,1,50,866
aa596,Rose,1,740,116
aa597,Rose,2,410,434
aa598,Rose,2,730,489
aa599,Rose,1,680,376
aa600,Rose,2,710,204
aa601,Rose,2,890,976
aa602,Rose,2,320,334
aa603,Rose,1,600,678
aa604,Rose,2,520,947
aa605,Rose,2,960,289
aa606,Rose,2,630,470
aa607,Rose,1,730,916
aa608,Rose,2,720,135
aa609,Rose,1,460,621
aa610,Rose,2,190,248
aa611,Rose,1,180,56
aa612,Rose,1,840,84
aa613,Rose,2,890,779
aa614,Rose,1,660,545
aa615,Rose,1,470,291
aa616,Rose,2,720,6
aa617,Rose,2,990,2
aa618,Rose,2,230,438
aa619,Rose,1,340,982
aa620,Rose,1,690,176
aa621,Rose,2,310,904
aa622,Rose,2,540,338
aa623,Rose,2,490,183
aa624,Rose,1,190,948
aa625,Rose,1,930,689
aa626,Rose,2,570,618
aa627,Rose,2,530,50
aa628,Rose,2,820,89
aa629,Rose,2,790,967
aa630,Rose,2,530,794
aa631,Rose,2,330,814
aa632,Rose,2,1000,575
aa633,Rose,2,750,198
aa634,Rose,1,510,199
aa635,Rose,1,260,439
aa636,Rose,1,450,669
aa637,Rose,1,640,427
aa638,Rose,2,150,180
aa639,Rose,1,100,444
aa640,Rose,1,510,316
aa641,Rose,2,860,705
aa642,Rose,2,360,498
aa643,Rose,2,270,33
aa644,Rose,2,170,602
aa645,Rose,1,80,828
aa646,Rose,2,770,867
aa647,Rose,1,680,213
aa648,Rose,1,200,434
aa649,Rose,2,460,178
aa650,Rose,2,60,58
aa651,Rose,2,600,556
aa652,Rose,2,840,27
aa653,Rose,2,420,113
aa654,Rose,2,160,863
aa655,Rose,2,510,136
aa656,Rose,1,710,564
aa657,Rose,1,720,251
aa658,Rose,2,540,585
aa659,Rose,2,440,572
aa660,Rose,2,570,632
aa661,Rose,1,850,830
aa662,Rose,2,120,277
aa663,Rose,2,560,143
aa664,Rose,2,600,304
aa665,Rose,2,320,719
aa666,Rose,2,770,677
aa667,Rose,2,430,597
aa668,Rose,1,630,839
aa669,Rose,2,340,889
aa670,Rose,1,330,798
aa671,Rose,1,520,164
aa672,Rose,1,520,111
aa673,Rose,2,430,404
aa674,Rose,1,20,35
aa675,Rose,2,270,641
aa676,Rose,2,400,603
aa677,Rose,1,430,350
aa678,Rose,1,970,194
aa679,Rose,1,380,978
aa680,Rose,1,730,348
aa681,Rose,2,920,363
aa682,Rose,2,170,800
aa683,Rose,1,410,760
aa684,Rose,2,840,821
aa685,Rose,1,90,790
aa686,Rose,1,90,268
aa687,Rose,2,290,352
aa688,Rose,1,930,19
aa689,Rose,1,110,558
aa690,Rose,2,840,57
aa691,Rose,1,220,698
aa692,Rose,2,130,99
aa693,Rose,1,100,750
aa694,Rose,2,330,247
aa695,Rose,2,150,565
aa696,Rose,1,240,408
aa697,Rose,2,250,935
aa698,Rose,2,440,187
aa699,Rose,2,100,152
aa700,Rose,2,880,608
aa701,Rose,1,70,136
aa702,Rose,1,460,245
aa703,Rose,2,460,946
aa704,Rose,2,1000,218
aa705,Rose,2,650,499
aa706,Rose,1,360,728
aa707,Rose,2,310,687
aa708,Rose,2,630,900
aa709,Rose,2,390,800
aa710,Rose,1,100,960
aa711,Rose,1,210,463
aa712,Rose,1,500,808
aa713,Rose,1,170,570
aa714,Rose,1,160,956
aa715,Rose,2,720,694
aa716,Rose,2,350,319
aa717,Rose,1,370,474
aa718,Rose,2,290,571
aa719,Rose,2,200,543
aa720,Rose,1,320,59
aa721,Rose,1,980,560
aa722,Rose,1,680,672
aa723,Rose,2,680,604
aa724,Rose,2,190,288
aa725,Rose,2,180,117
aa726,Rose,1,750,576
aa727,Rose,1,790,87
aa728,Rose,2,810,975
aa729,Rose,1,210,689
aa730,Rose,2,790,118
aa731,Rose,1,190,49
aa732,Rose,2,840,715
aa733,Rose,1,10,289
aa734,Rose,1,200,478
aa735,Rose,1,300,127
aa736,Rose,1,480,183
aa737,Rose,1,910,792
aa738,Rose,1,760,888
aa739,Rose,2,910,320
aa740,Rose,1,920,122
aa741,Rose,1,940,305
aa742,Rose,1,530,569
aa743,Rose,1,490,143
aa744,Rose,2,580,717
aa745,Rose,1,320,186
aa746,Rose,2,770,304
aa747,Rose,1,730,243
aa748,Rose,1,350,804
aa749,Rose,1,990,971
aa750,Rose,1,170,7
aa751,Rose,2,930,276
aa752,Rose,1,200,773
aa753,Rose,2,400,749
aa754,Rose,1,260,368
aa755,Rose,1,150,282
aa756,Rose,2,640,934
aa757,Rose,1,710,949
aa758,Rose,1,820,655
aa759,Rose,1,330,747
aa760,Rose,2,890,897
aa761,Rose,1,40,179
aa762,Rose,1,390,950
aa763,Rose,2,420,190
aa764,Rose,1,150,466
aa765,Rose,2,630,985
aa766,Rose,1,850,636
aa767,Rose,1,420,731
aa768,Rose,1,180,416
aa769,Rose,2,520,677
aa770,Rose,1,170,823
aa771,Rose,1,600,880
aa772,Rose,2,150,605
aa773,Rose,2,10,321
aa774,Rose,1,820,343
aa775,Rose,2,350,486
aa776,Rose,1,190,267
aa777,Rose,2,210,733
aa778,Rose,2,300,699
aa779,Rose,1,50,413
aa780,Rose,1,770,462
aa781,Rose,2,540,332
aa782,Rose,1,700,45
aa783,Rose,2,160,77
aa784,Rose,1,670,942
aa785,Rose,1,550,835
aa786,Rose,1,50,829
aa787,Rose,1,840,363
aa788,Rose,1,60,85
aa789,Rose,2,20,67
aa790,Rose,1,970,952
aa791,Rose,2,770,797
aa792,Rose,2,480,705
aa793,Rose,1,580,144
aa794,Rose,1,880,588
aa795,Rose,2,840,848
aa796,Rose,2,350,529
aa797,Rose,2,350,460
aa798,Rose,2,310,627
aa799,Rose,2,870,73
aa800,Rose,1,780,261
aa801,Rose,2,100,437
aa802,Rose,2,350,821
aa803,Rose,2,50,78
aa804,Rose,2,510,67
aa805,Rose,2,990,727
aa806,Rose,2,920,339
aa807,Rose,1,370,333
aa808,Rose,1,90,345
aa809,Rose,1,200,802
aa810,Rose,2,260,919
aa811,Rose,1,430,305
aa812,Rose,2,400,512
aa813,Rose,1,500,216
aa814,Rose,2,40,532
aa815,Rose,2,120,274
aa816,Rose,2,40,727
aa817,Rose,1,920,268
aa818,Rose,1,270,451
aa819,Rose,1,470,447
aa820,Rose,2,480,626
aa821,Rose,2,560,394
aa822,Rose,1,170,977
aa823,Rose,1,530,939
aa824,Rose,1,310,244
aa825,Rose,2,670,714
aa826,Rose,1,20,129
aa827,Rose,1,430,51
aa828,Rose,1,970,775
aa829,Rose,2,680,188
aa830,Rose,2,140,592
aa831,Rose,1,860,301
aa832,Rose,1,230,531
aa833,Rose,2,70,324
aa834,Rose,2,750,924
aa835,Rose,1,220,92
aa836,Rose,2,970,962
aa837,Rose,2,20,116
aa838,Rose,2,480,432
aa839,Rose,1,170,568
aa840,Rose,1,470,750
aa841,Rose,2,820,910
aa842,Rose,2,210,335
aa843,Rose,2,450,44
aa844,Rose,1,500,346
aa845,Rose,2,760,776
aa846,Rose,1,430,701
aa847,Rose,1,450,531
aa848,Rose,1,10,738
aa849,Rose,2,320,636
aa850,Rose,2,970,293
aa851,Rose,2,10,406
aa852,Rose,1,520,353
aa853,Rose,1,10,308
aa854,Rose,2,380,567
aa855,Rose,1,20,927
aa856,Rose,2,440,423
aa857,Rose,1,990,558
aa858,Rose,2,80,80
aa859,Rose,2,850,405
aa860,Rose,2,790,545
aa861,Rose,1,880,995
aa862,Rose,1,30,414
aa863,Rose,1,60,319
aa864,Rose,2,790,33
aa865,Rose,2,640,715
aa866,Rose,1,690,901
aa867,Rose,2,260,831
aa868,Rose,2,980,164
aa869,Rose,1,230,222
aa870,Rose,1,400,662
aa871,Rose,1,970,870
aa872,Rose,1,570,916
aa873,Rose,2,440,537
aa874,Rose,1,360,378
aa875,Rose,1,660,915
aa876,Rose,2,140,205
aa877,Rose,1,440,311
aa878,Rose,2,130,149
aa879,Rose,1,680,723
aa880,Rose,1,410,384
aa881,Rose,1,960,514
aa882,Rose,2,790,20
aa883,Rose,1,640,430
aa884,Rose,1,840,244
aa885,Rose,2,280,111
aa886,Rose,2,850,752
aa887,Rose,1,460,285
aa888,Rose,1,720,299
aa889,Rose,2,680,870
aa890,Rose,1,40,349
aa891,Rose,2,700,303
aa892,Rose,2,590,240
aa893,Rose,2,690,588
aa894,Rose,2,530,198
aa895,Rose,1,970,287
aa896,Rose,2,750,992
aa897,Rose,2,680,817
aa898,Rose,2,370,591
aa899,Rose,1,20,348
aa900,Rose,1,360,959
aa901,Rose,2,630,795
aa902,Rose,1,390,110
aa903,Rose,2,260,392
aa904,Rose,2,820,421
aa905,Rose,2,340,457
aa906,Rose,1,740,614
aa907,Rose,2,500,852
aa908,Rose,2,140,831
aa909,Rose,1,200,416
aa910,Rose,1,180,631
aa911,Rose,1,930,242
aa912,Rose,2,40,521
aa913,Rose,1,490,755
aa914,Rose,1,690,45
aa915,Rose,2,910,465
aa916,Rose,2,470,623
aa917,Rose,1,750,233
aa918,Rose,1,740,917
aa919,Rose,2,580,375
aa920,Rose,1,120,109
aa921,Rose,2,670,154
aa922,Rose,1,10,848
aa923,Rose,2,200,109
aa924,Rose,2,210,101
aa925,Rose,2,50,246
aa926,Rose,2,870,174
aa927,Rose,2,770,159
aa928,Rose,2,390,332
aa929,Rose,2,840,878
aa930,Rose,2,740,422
aa931,Rose,2,980,779
aa932,Rose,1,650,356
aa933,Rose,1,440,576
aa934,Rose,2,70,447
aa935,Rose,2,20,338
aa936,Rose,2,780,767
aa937,Rose,2,650,350
aa938,Rose,1,330,580
aa939,Rose,1,470,610
aa940,Rose,1,600,683
aa941,Rose,2,600,131
aa942,Rose,1,520,445
aa943,Rose,1,10,158
aa944,Rose,2,310,117
aa945,Rose,2,620,256
aa946,Rose,1,390,212
aa947,Rose,1,200,731
aa948,Rose,1,460,795
aa949,Rose,2,700,241
aa950,Rose,1,240,424
aa951,Rose,1,670,38
aa952,Rose,2,960,810
aa953,Rose,2,560,802
aa954,Rose,1,620,656
aa955,Rose,1,910,894
aa956,Rose,1,640,628
aa957,Rose,1,430,975
aa958,Rose,2,120,686
aa959,Rose,2,420,833
aa960,Rose,2,460,733
aa961,Rose,2,540,121
aa962,Rose,2,430,669
aa963,Rose,2,310,440
aa964,Rose,2,970,245
aa965,Rose,1,420,697
aa966,Rose,1,800,562
aa967,Rose,1,680,656
aa968,Rose,2,590,403
aa969,Rose,1,550,851
aa970,Rose,1,500,344
aa971,Rose,1,220,636
aa972,Rose,1,450,476
aa973,Rose,2,860,771
aa974,Rose,1,420,483
aa975,Rose,1,590,39
aa976,Rose,1,940,956
aa977,Rose,1,590,332
aa978,Rose,1,230,159
aa979,Rose,2,990,819
aa980,Rose,2,800,634
aa981,Rose,1,910,414
aa982,Rose,1,790,506
aa983,Rose,2,180,615
aa984,Rose,1,990,139
aa985,Rose,2,420,32
aa986,Rose,2,40,372
aa987,Rose,1,900,351
aa988,Rose,1,60,443
aa989,Rose,2,170,739
aa990,Rose,1,80,478
aa991,Rose,1,960,227
aa992,Rose,2,970,516
aa993,Rose,1,330,296
aa994,Rose,2,140,535
